query,item_id,item_url,title,authors,certificate_or_type,journal_name,journal_url,issue,issue_url
geoai,60569387,https://elibrary.ru/item.asp?id=60569387,PRAGMATIC GEOAI: GEOGRAPHIC INFORMATION AS EXTERNALIZED PRACTICE,"Scheider S., Richter K.F.",134 KI - Künstliche Intelligenz . 2023. Т. 37. № 1 . С. 17-31.,KI - Künstliche Intelligenz,https://elibrary.ru/contents.asp?id=60427821,№ 1,https://elibrary.ru/contents.asp?id=60427821&selid=60569387
geoai,60597723,https://elibrary.ru/item.asp?id=60597723,GEOAI AND BEYOND,"Scheider S., Richter K.F., Janowicz K.",135 KI - Künstliche Intelligenz . 2023. Т. 37. № 1 . С. 91-97.,KI - Künstliche Intelligenz,https://elibrary.ru/contents.asp?id=60427821,№ 1,https://elibrary.ru/contents.asp?id=60427821&selid=60597723
geoai,60642417,https://elibrary.ru/item.asp?id=60642417,GEOAI,"Scheider S., Richter K.F.",136 KI - Künstliche Intelligenz . 2023. Т. 37. № 1 . С. 5-9.,KI - Künstliche Intelligenz,https://elibrary.ru/contents.asp?id=60427821,№ 1,https://elibrary.ru/contents.asp?id=60427821&selid=60642417
geoai,60878179,https://elibrary.ru/item.asp?id=60878179,CORRECTION TO: GEOIMAGENET: A MULTI-SOURCE NATURAL FEATURE BENCHMARK DATASET FOR GEOAI AND SUPERVISED MACHINE LEARNING,"Li W., Wang S., Arundel S.T., Hsu Ch.Yu.",137 GeoInformatica . 2023. Т. 27. № 3 . С. 643.,GeoInformatica,https://elibrary.ru/contents.asp?id=59713119,№ 3,https://elibrary.ru/contents.asp?id=59713119&selid=60878179
geoai,60989806,https://elibrary.ru/item.asp?id=60989806,"GEOAI: INTEGRATION OF ARTIFICIAL INTELLIGENCE, MACHINE LEARNING, AND DEEP LEARNING WITH GIS",Choi Y.,138 Applied Sciences (Switzerland) . 2023. Т. 13. № 6 . С. 3895.,Applied Sciences (Switzerland),https://elibrary.ru/contents.asp?id=50383927,№ 6,https://elibrary.ru/contents.asp?id=50383927&selid=60989806
geoai,61535936,https://elibrary.ru/item.asp?id=61535936,"ASSESSING DIFFERENCES IN SAFETY PERCEPTIONS USING GEOAI AND SURVEY ACROSS NEIGHBOURHOODS IN STOCKHOLM, SWEDEN","Kang Yu., Abraham J., Ceccato V., Duarte F., Gao S., Ljungqvist L., Zhang F., Näsman P., Ratti C.",139 Landscape and Urban Planning . 2023. Т. 236. С. 104768.,Landscape and Urban Planning,https://elibrary.ru/contents.asp?id=61440695,,
geoai,61683782,https://elibrary.ru/item.asp?id=61683782,GEOAI FOR MARINE ECOSYSTEM MONITORING: A COMPLETE WORKFLOW TO GENERATE MAPS FROM AI MODEL PREDICTIONS,"Talpaert Daudon J., Contini M., Urbina-Barreto I., Elliott B., Guilhaumon F., Joly A., Bonhommeau S., Barde J.","140 The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences . 2023. Т. XLVIII-4/W7-2023. С. 223-230.","The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",https://elibrary.ru/contents.asp?id=61681891,,
geoai,62629390,https://elibrary.ru/item.asp?id=62629390,GEOAI- THE FUTURE WAS HERE!,Chandler M.,141 Bulletin - Association of Canadian Map Libraries and Archives . 2023. № 172 . С. 27-29.,Bulletin - Association of Canadian Map Libraries and Archives,https://elibrary.ru/contents.asp?id=62552175,№ 172,https://elibrary.ru/contents.asp?id=62552175&selid=62629390
geoai,62654446,https://elibrary.ru/item.asp?id=62654446,THE CHALLENGES OF INTEGRATING EXPLAINABLE ARTIFICIAL INTELLIGENCE INTO GEOAI,"Xing J., Sieber R.",142 Transactions in GIS . 2023. Т. 27. № 3 . С. 626-645.,Transactions in GIS,https://elibrary.ru/contents.asp?id=57251419,№ 3,https://elibrary.ru/contents.asp?id=57251419&selid=62654446
geoai,62733641,https://elibrary.ru/item.asp?id=62733641,ANALISIS SPASIAL PERUBAHAN SUHU PERMUKAAN DARATAN KOTA KUPANG MENGGUNAKAN PENDEKATAN GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI),"Liwan S., Latue Ph.Ch.","143 Buana Jurnal Geografi, Ekologi dan Kebencanaan . 2023. Т. 1. № 1 . С. 14-20.","Buana Jurnal Geografi, Ekologi dan Kebencanaan",https://elibrary.ru/contents.asp?id=62733631,№ 1,https://elibrary.ru/contents.asp?id=62733631&selid=62733641
geoai,63056484,https://elibrary.ru/item.asp?id=63056484,GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI) AND SATELLITE IMAGERY FUSION FOR SOIL PHYSICAL PROPERTY PREDICTING,"Hosseini F.S., Seo M.B., Razavi-Termeh S.V., Sadeghi-Niaraki A., Jamshidi M., Choi S.Mi.",144 Sustainability . 2023. Т. 15. № 19 . С. 14125.,Sustainability,https://elibrary.ru/contents.asp?id=54506325,№ 19,https://elibrary.ru/contents.asp?id=54506325&selid=63056484
geoai,63177304,https://elibrary.ru/item.asp?id=63177304,MUSE-RASA CAPTURES HUMAN DIMENSION IN CLIMATE-ENERGY-ECONOMIC MODELS VIA GLOBAL GEOAI-ML AGENT DATASETS,"Moya D., Copara D., Olivo A., Castro Ch., Giarola S., Hawkes A.",145 Scientific Data . 2023. Т. 10. № 1 . С. 693.,Scientific Data,https://elibrary.ru/contents.asp?id=55666415,№ 1,https://elibrary.ru/contents.asp?id=55666415&selid=63177304
geoai,61905532,https://elibrary.ru/item.asp?id=61905532,ADVANCES IN GEOCOMPUTATION AND GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI) FOR MAPPING,"Song Y., Kalacska M., Gašparović M., Yao J., Najibi N.",146 International Journal of Applied Earth Observation and Geoinformation . 2023. Т. 120. С. 103300.,International Journal of Applied Earth Observation and Geoinformation,https://elibrary.ru/contents.asp?id=61603274,,
geoai,64359458,https://elibrary.ru/item.asp?id=64359458,GEOAI DATASET FOR TRAINING DEEP LEARNING-BASED OPTICAL SATELLITE IMAGE MATCHING MODEL,"Yu J.W., Park Ch.W., Jung H.S.",147 Geo Data . 2023. Т. 5. № 4 . С. 244-250.,Geo Data,https://elibrary.ru/contents.asp?id=64351503,№ 4,https://elibrary.ru/contents.asp?id=64351503&selid=64359458
geoai,64531004,https://elibrary.ru/item.asp?id=64531004,GEOAI IN URBAN ANALYTICS,"De Sabbata S., Ballatore A., Miller H.J., Sieber R., Tyukin I., Yeboah G.",148 International Journal of Geographical Information Science . 2023. Т. 37. № 12 . С. 2455-2463.,International Journal of Geographical Information Science,https://elibrary.ru/contents.asp?id=61373835,№ 12,https://elibrary.ru/contents.asp?id=61373835&selid=64531004
geoai,64553975,https://elibrary.ru/item.asp?id=64553975,UTILIZATION OF GEOAI APPLICATIONS IN THE HEALTH SECTOR: A REVIEW,"Amponsah A., Latue Ph., Rakuasa H.",149 Journal of Health Science and Medical Therapy . 2023. Т. 1. № 2 . С. 49-60.,Journal of Health Science and Medical Therapy,https://elibrary.ru/contents.asp?id=62938280,№ 2,https://elibrary.ru/contents.asp?id=62938280&selid=64553975
geoai,63742857,https://elibrary.ru/item.asp?id=63742857,REPORT OF THE 5TH ACM SIGSPATIAL INTERNATIONAL WORKSHOP ON AI FOR GEOGRAPHIC KNOWLEDGE DISCOVERY (GEOAI 2022),"Martins B., Lunga D., Gao S., Newsam Sh., Yang L., Deng X., Mai G.",150 SIGSPATIAL Special . 2022. Т. 14. № 1 . С. 23-25.,SIGSPATIAL Special,https://elibrary.ru/contents.asp?id=63664753,№ 1,https://elibrary.ru/contents.asp?id=63664753&selid=63742857
geoai,64613822,https://elibrary.ru/item.asp?id=64613822,GEOAI DATASET FOR INDUSTRIAL PARK AND QUARRY CLASSIFICATION FROM KOMPSAT-3/3A OPTICAL SATELLITE IMAGERY,"Park Ch.W., Jung H.S., Lee W.J., Lee K.Ja., Oh K.Y., Chang Ja.Y., Lee M.J., Han G.H., Choi Il.H.",151 Geo Data . 2023. Т. 5. № 4 . С. 238-243.,Geo Data,https://elibrary.ru/contents.asp?id=64351503,№ 4,https://elibrary.ru/contents.asp?id=64351503&selid=64613822
geoai,64889244,https://elibrary.ru/item.asp?id=64889244,MAPPING PROPERTY REDEVELOPMENT VIA GEOAI: INTEGRATING COMPUTER VISION AND SOCIOENVIRONMENTAL PATTERNS AND PROCESSES,"Liu Ch., Song W.",152 Cities . 2024. Т. 144. С. 104644.,Cities,https://elibrary.ru/contents.asp?id=64889243,,
geoai,65527579,https://elibrary.ru/item.asp?id=65527579,GEOAI DATASET FOR RURAL HAZARDOUS FACILITIES SEGMENTATION FROM KOMPSAT ORTHO MOSAIC IMAGERY,"Gong S.H., Jung H.S., Lee M.J., Lee K.Ja., Oh K.Y., Chang Ja.Y.",153 Geo Data . 2023. Т. 5. № 4 . С. 231-237.,Geo Data,https://elibrary.ru/contents.asp?id=64351503,№ 4,https://elibrary.ru/contents.asp?id=64351503&selid=65527579
geoai,66011120,https://elibrary.ru/item.asp?id=66011120,A FIVE-YEAR MILESTONE: REFLECTIONS ON ADVANCES AND LIMITATIONS IN GEOAI RESEARCH,"Hu Y., Goodchild M., Zhu A.X., Yuan M., Aydin O., Bhaduri B., Gao S., Li W., Lunga D., Newsam Sh.",154 Annals of GIS . 2024. Т. 30. № 1 . С. 1-14.,Annals of GIS,https://elibrary.ru/contents.asp?id=65797282,№ 1,https://elibrary.ru/contents.asp?id=65797282&selid=66011120
geoai,65351093,https://elibrary.ru/item.asp?id=65351093,GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI): APPLICATIONS IN HEALTH CARE,"Sahana K.S., Karthik C.B., Sree M.M., Chaithra M., Abhinandithe S.K., Snehalatha B., Sridhar R., Balasubramanian S., Madhu B.",155 International Journal of Health & aAllied Sciences . 2022. Т. 11. № 4 .,International Journal of Health & aAllied Sciences,https://elibrary.ru/contents.asp?id=63827029,№ 4,https://elibrary.ru/contents.asp?id=63827029&selid=65351093
geoai,66465992,https://elibrary.ru/item.asp?id=66465992,ON THE OPPORTUNITIES AND CHALLENGES OF FOUNDATION MODELS FOR GEOAI (VISION PAPER),"Mai G., Huang W., Sun J., Song S., Mishra D., Liu N., Gao S., Liu T., Cong G., Hu Y., Cundy Ch., Li Z., Zhu R., Lao Ni.",156 ACM Transactions on Spatial Algorithms and Systems . 2024.,ACM Transactions on Spatial Algorithms and Systems,https://elibrary.ru/contents.asp?id=54867335,,
geoai,66751286,https://elibrary.ru/item.asp?id=66751286,YOLOV8-BYTE: SHIP TRACKING ALGORITHM USING SHORT-TIME SEQUENCE SAR IMAGES FOR DISASTER RESPONSE LEVERAGING GEOAI,"Yasir M., Shanwei L., Mingming Xu., Jianhua W., Hui Sh., Nazir Sh., Zhang X., Tugsan Isiacik Colak A.",157 International Journal of Applied Earth Observation and Geoinformation . 2024. Т. 128. С. 103771.,International Journal of Applied Earth Observation and Geoinformation,https://elibrary.ru/contents.asp?id=66087066,,
geoai,66769914,https://elibrary.ru/item.asp?id=66769914,الذكاء الاصطناعي الجغرافي المكاني (GEOAI) والصور الفضائية (EOS)، وتطبيقاتهما على الزراعة في اليمن,"المهاب, عيد",158 Journal of Engineering and Technological Sciences - JOEATS . 2024. Т. 2. № 1 . С. 21-37.,Journal of Engineering and Technological Sciences - JOEATS,https://elibrary.ru/contents.asp?id=66769913,№ 1,https://elibrary.ru/contents.asp?id=66769913&selid=66769914
geoai,66922874,https://elibrary.ru/item.asp?id=66922874,HYPERFIDELIS: A SOFTWARE TOOLKIT TO EMPOWER PRECISION AGRICULTURE WITH GEOAI,"Sagan V., Coral R., Bhadra S., Alifu H., Al Akkad O., Giri A., Esposito F.",159 Remote Sensing . 2024. Т. 16. № 9 . С. 1584.,Remote Sensing,https://elibrary.ru/contents.asp?id=66826135,№ 9,https://elibrary.ru/contents.asp?id=66826135&selid=66922874
